id,name,provenance_url,last_modified,last_modified_raw,status,error,method,previous_error
dc/base/IndiaEnergy,IndiaEnergy,https://niti.gov.in/edm/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/IndiaNSS_HealthAilments,IndiaNSS_HealthAilments,https://ndap.niti.gov.in/dataset/7300,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/India_LifeExpectancy,India_LifeExpectancy,https://ndap.niti.gov.in/dataset/7375,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/IndiaCensus_PrimaryReligion,IndiaCensus_PrimaryReligion,https://censusindia.gov.in/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,CONNECTION_ERROR
dc/base/IndiaCensus_Primary,IndiaCensus_Primary,https://censusindia.gov.in/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,CONNECTION_ERROR
dc/base/IndiaCensus_PrimarySC,IndiaCensus_PrimarySC,https://censusindia.gov.in/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,CONNECTION_ERROR
dc/base/IndiaCensus_PrimaryHouseless,IndiaCensus_PrimaryHouseless,https://censusindia.gov.in/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,CONNECTION_ERROR
dc/base/IndiaCensus_PrimaryST,IndiaCensus_PrimaryST,https://censusindia.gov.in/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,CONNECTION_ERROR
dc/base/IndiaNHM,IndiaNHM,https://hmis.nhp.gov.in/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,CONNECTION_ERROR
dc/base/NYBG,NYBG,https://nybg.org,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,CONNECTION_ERROR
dc/base/Cotedivoire_Census,Cotedivoire_Census,https://cotedivoire.opendataforafrica.org/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
