id,prov_id,provenance_url
dc/base/US_SAT_ACT_Participation,dc/base/US_SAT_ACT_Participation,https://ocrdata.ed.gov/
dc/base/US_SAT_ACT_Participation_state,dc/base/US_SAT_ACT_Participation_state,https://ocrdata.ed.gov/
dc/base/FBIHateCrime,dc/base/FBIHateCrime,https://www.fbi.gov/services/cjis/ucr/hate-crime
dc/base/FBIHateCrimePublications,dc/base/FBIHateCrimePublications,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/hate-crime
dc/base/US_CPI,dc/base/US_CPI,https://www.bls.gov/cpi/
dc/base/CDC_NORS_NonInfectious,dc/base/CDC_NORS_NonInfectious,https://wwwn.cdc.gov/norsdashboard/
dc/base/USDA_AgricultureSurvey,dc/base/USDA_AgricultureSurvey,https://quickstats.nass.usda.gov/
dc/base/NCES_PublicSchool,dc/base/NCES_PublicSchool,https://nces.ed.gov/ccd/elsi/tableGenerator.aspx
dc/base/crdc_instructional_wifi_devices,dc/base/crdc_instructional_wifi_devices,https://civilrightsdata.ed.gov/data
dc/base/IndiaNSS_HealthAilments,dc/base/IndiaNSS_HealthAilments,https://ndap.niti.gov.in/dataset/7300
dc/base/EPAAirQualityIndex,dc/base/EPAAirQualityIndex,https://aqs.epa.gov/aqsweb/airdata/download_files.html
dc/base/CRDC_EducationSchool_HarassmentOrBullying,dc/base/CRDC_EducationSchool_HarassmentOrBullying,https://ocrdata.ed.gov/data
dc/base/IPEDS_StudentToFacultyRatio,dc/base/IPEDS_StudentToFacultyRatio,https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx?gotoReportId=7&fromIpeds=true&sid=859539d0-db09-4d03-a36a-eabf93d07355&rtid=1
