id,prov_id,provenance_url
80,dc_import_80,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30
81,dc_import_81,http://projects.datameet.org/covid19/ 
82,dc_import_82,https://www.google.com/covid19/mobility/ 
83,dc_import_83,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22
84,dc_import_84,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22
85,dc_import_85,https://www.epa.gov/air-emissions-inventories/national-emissions-inventory-nei
86,dc_import_86,https://wwwn.cdc.gov/norsdashboard/
87,dc_import_87,https://www.fema.gov/flood-insurance
88,dc_import_88,https://www.bls.gov/cew
89,dc_import_89,https://www.dol.gov/agencies/whd/state/minimum-wage/history
90,dc_import_90,https://apps.bea.gov/regional
91,dc_import_91,https://www.epa.gov/air-emissions-inventories/national-emissions-inventory-nei
92,dc_import_92,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22
93,dc_import_93,https://www.bea.gov/data/gdp
94,dc_import_94,https://www.bls.gov/cpi
95,dc_import_95,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22
96,dc_import_96,https://app.powerbigov.us/view?r=eyJrIjoiZmZmOWU2N2ItYzllZi00N2I4LWE1NGItYWMxNmU3MTJmYmY4IiwidCI6IjljZTcwODY5LTYwZGItNDRmZC1hYmU4LWQyNzY3MDc3ZmM4ZiJ9
97,dc_import_97,https://www.epa.gov/enviro/greenhouse-gas-overview
98,dc_import_98,https://www.atsdr.cdc.gov/
99,dc_import_99,https://www.census.gov/programs-surveys/popest/about.html
100,dc_import_100,https://www.census.gov/programs-surveys/cbp/data/datasets.html
101,dc_import_101,https://www.census.gov/programs-surveys/popest/about.html
102,dc_import_102,https://www.census.gov/data/datasets/time-series/demo/sahie/estimates-acs.html
103,dc_import_103,https://www.census.gov/programs-surveys/popest/about.html
104,dc_import_104,https://www.census.gov/programs-surveys/popest/about.html
105,dc_import_105,https://www.bts.dot.gov/latch/latch-data
106,dc_import_106,https://www.census.gov/programs-surveys/popest/about.html
107,dc_import_107,https://www.census.gov/programs-surveys/popest/about.html
108,dc_import_108,https://www.census.gov/programs-surveys/popest/about.html
109,dc_import_109,https://www.census.gov/programs-surveys/popest/about.html
110,dc_import_110,https://egypt.opendataforafrica.org
111,dc_import_111,https://data.stadt-zuerich.ch/
112,dc_import_112,https://ec.europa.eu/eurostat/
113,dc_import_113,https://data.stadt-zuerich.ch/
114,dc_import_114,https://stats.oecd.org/viewhtml.aspx?datasetcode=WATER_TREAT&lang=en
115,dc_import_115,https://data.stadt-zuerich.ch/
116,dc_import_116,https://data.stadt-zuerich.ch/
117,dc_import_117,https://ec.europa.eu/eurostat/web/health/data/database
118,dc_import_118,https://ec.europa.eu/eurostat/web/health/data/database
