id,prov_id,provenance_url
dc/base/SouthKorea_Education,dc/base/SouthKorea_Education,https://kosis.kr/eng/
dc/base/Copernicus_ECMWF_ERA5_Monthly,dc/base/Copernicus_ECMWF_ERA5_Monthly,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
dc/base/Copernicus_ECMWF_ERA5_Monthly_AggrYearsStats,dc/base/Copernicus_ECMWF_ERA5_Monthly_AggrYearsStats,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
dc/base/Vietnam_Census,dc/base/Vietnam_Census,https://www.gso.gov.vn/en/homepage/
dc/base/CDCWonder_NNDSS_InfectiousAnnual,dc/base/CDCWonder_NNDSS_InfectiousAnnual,https://wonder.cdc.gov/nndss/nndss_annual_tables_menu.asp
dc/base/DEA_DrugCodes,dc/base/DEA_DrugCodes,https://www.deadiversion.usdoj.gov/21cfr/cfr/2108cfrt.htm
dc/base/CDCPM25,dc/base/CDCPM25,https://data.cdc.gov/Environmental-Health-Toxicology/Daily-PM2-5-Concentrations-All-County-2001-2016/7vdq-ztk9
dc/base/FBIHateCrime,dc/base/FBIHateCrime,https://www.fbi.gov/services/cjis/ucr/hate-crime
dc/base/FireFAMWEB,dc/base/FireFAMWEB,https://fam.nwcg.gov/fam-web/
dc/base/NYU_Tennessee_Diabetes,dc/base/NYU_Tennessee_Diabetes,https://www.tn.gov/health/health-program-areas/statistics/health-data/death-statistics.html
dc/base/NYT_COVID19,dc/base/NYT_COVID19,https://www.nytimes.com/article/coronavirus-county-data-us.html
